anno,month,sales
1992,1,33
1992,2,35
1992,3,37
1992,4,43
1992,5,45
1992,6,41
1992,7,43
1992,8,43
1992,9,35
1992,10,34
1992,11,28
1992,12,30
1993,1,26
1993,2,25
1993,3,20
1993,4,26
1993,5,24
1993,6,26
1993,7,26
1993,8,34
1993,9,34
1993,10,39
1993,11,43
1993,12,41
1994,1,42
1994,2,39
1994,3,38
1994,4,37
1994,5,34
1994,6,24
1994,7,21
1994,8,17
1994,9,18
1994,10,18
1994,11,21
1994,12,17
1995,1,22
1995,2,27
1995,3,27
1995,4,37
1995,5,33
1995,6,35
1995,7,36
1995,8,29
1995,9,35
1995,10,27
1995,11,25
1995,12,18
1996,1,15
1996,2,11
1996,3,15
1996,4,11
1996,5,14
1996,6,12
1996,7,9
1996,8,12
1996,9,18
1996,10,21
1996,11,22
1996,12,25
1997,1,28
1997,2,29
1997,3,26
1997,4,28
1997,5,29
1997,6,22
1997,7,21
1997,8,17
1997,9,12
1997,10,10
1997,11,6
1997,12,12
1998,1,12
1998,2,13
1998,3,15
1998,4,17
1998,5,17
1998,6,26
1998,7,32
1998,8,30
1998,9,30
1998,10,31
1998,11,31
1998,12,31
1999,1,26
1999,2,20
1999,3,21
1999,4,19
1999,5,21
1999,6,16
1999,7,18
1999,8,22
1999,9,21
1999,10,26
1999,11,31
1999,12,32
2000,1,41
2000,2,38
2000,3,43
2000,4,40
2000,5,49
2000,6,48
2000,7,44
2000,8,42
2000,9,40
2000,10,35
2000,11,36
2000,12,36
2001,1,39
2001,2,36
2001,3,38
2001,4,45
2001,5,46
2001,6,48
2001,7,59
2001,8,60
2001,9,63
2001,10,67
2001,11,67
2001,12,71
2002,1,71
2002,2,66
2002,3,62
2002,4,61
2002,5,62
2002,6,60
2002,7,57
2002,8,61
2002,9,57
2002,10,60
2002,11,63
2002,12,70
2003,1,75
2003,2,79
2003,3,81
2003,4,88
2003,5,85
2003,6,86
2003,7,90
2003,8,88
2003,9,86
2003,10,85
2003,11,81
2003,12,82
2004,1,71
2004,2,78
2004,3,78
2004,4,76
2004,5,76
2004,6,81
2004,7,85
2004,8,92
2004,9,93
2004,10,95
2004,11,101
2004,12,103
2005,1,106
2005,2,103
2005,3,98
2005,4,100
2005,5,94
2005,6,92
2005,7,89
2005,8,90
2005,9,87
2005,10,83
2005,11,82
2005,12,85
2006,1,83
2006,2,95
2006,3,98
2006,4,101
2006,5,102
2006,6,105
2006,7,107
2006,8,102
2006,9,103
2006,10,99
2006,11,99
2006,12,98
2007,1,95
2007,2,87
2007,3,85
2007,4,83
2007,5,83
2007,6,85
2007,7,82
2007,8,91
2007,9,88
2007,10,90
2007,11,94
2007,12,97
2008,1,99
2008,2,102
2008,3,98
2008,4,95
2008,5,94
2008,6,92
2008,7,85
2008,8,85
