anno,month,sales
1992,1,112
1992,2,118
1992,3,132
1992,4,129
1992,5,121
1992,6,135
1992,7,148
1992,8,148
1992,9,136
1992,10,119
1992,11,104
1992,12,118
1993,1,115
1993,2,126
1993,3,141
1993,4,135
1993,5,125
1993,6,149
1993,7,170
1993,8,170
1993,9,158
1993,10,133
1993,11,114
1993,12,140
1994,1,145
1994,2,150
1994,3,178
1994,4,163
1994,5,172
1994,6,178
1994,7,199
1994,8,199
1994,9,184
1994,10,162
1994,11,146
1994,12,166
1995,1,171
1995,2,180
1995,3,193
1995,4,181
1995,5,183
1995,6,218
1995,7,230
1995,8,242
1995,9,209
1995,10,191
1995,11,172
1995,12,194
1996,1,196
1996,2,196
1996,3,236
1996,4,235
1996,5,229
1996,6,243
1996,7,264
1996,8,272
1996,9,237
1996,10,211
1996,11,180
1996,12,201
1997,1,204
1997,2,188
1997,3,235
1997,4,227
1997,5,234
1997,6,264
1997,7,302
1997,8,293
1997,9,259
1997,10,229
1997,11,203
1997,12,229
1998,1,242
1998,2,233
1998,3,267
1998,4,269
1998,5,270
1998,6,315
1998,7,364
1998,8,347
1998,9,312
1998,10,274
1998,11,237
1998,12,278
1999,1,284
1999,2,277
1999,3,317
1999,4,313
1999,5,318
1999,6,374
1999,7,413
1999,8,405
1999,9,355
1999,10,306
1999,11,271
1999,12,306
2000,1,315
2000,2,301
2000,3,356
2000,4,348
2000,5,355
2000,6,422
2000,7,465
2000,8,467
2000,9,404
2000,10,347
2000,11,305
2000,12,336
2001,1,340
2001,2,318
2001,3,362
2001,4,348
2001,5,363
2001,6,435
2001,7,491
2001,8,505
2001,9,404
2001,10,359
2001,11,310
2001,12,337
2002,1,360
2002,2,342
2002,3,406
2002,4,396
2002,5,420
2002,6,472
2002,7,548
2002,8,559
2002,9,463
2002,10,407
2002,11,362
2002,12,405
2003,1,417
2003,2,391
2003,3,419
2003,4,461
2003,5,472
2003,6,535
2003,7,622
2003,8,606
2003,9,508
2003,10,461
2003,11,390
2003,12,432
